id,name
11,椰子
42,楊梅
469,藍莓
50,百香果
72,小番茄
811,火龍果
839,櫻桃
859,榴槤
91,其他
A1,香蕉
B2,鳳梨
C9,椪柑
E9,甜橙
F1,雜柑
FA1,黃秋葵
FB1,花椰菜
FC1,胡瓜
FD0,花胡瓜
FE1,冬瓜
FF0,絲瓜
FG0,苦瓜
FH3,扁蒲
FI0,茄子
FJ1,蕃茄
FK0,甜椒
FL2,豌豆
FM2,菜豆
FN1,敏豆
FQ1,毛豆
FR9,青花苔
FS1,越瓜
FT0,南瓜
FU1,隼人瓜
FV0,辣椒
FW1,金針花
FY0,玉米
FZ1,落花生
G2,黃金果
G3,酪梨
G49,奇異果
G9,波羅蜜
I1,木瓜
J1,荔枝
LA1,甘藍
LB1,小白菜
LC0,包心白菜
LC9,包心白
LD1,青江白菜
LE1,皇宮菜
LF2,蕹菜
LG2,芹菜
LH2,菠菜
LI0,萵苣菜
LJ4,芥菜
LK2,芥藍菜
LM1,莧菜
LN1,油菜
LO1,甘藷葉
LP1,芫荽
LP2,九層塔
LP3,羅勒
LQ1,紅鳳菜
LS1,茴香
LT2,海菜
LX1,蕨菜
LZ2,藤川七
MA1,洋菇
MA2,洋菇盒
MB1,草菇
MC1,濕木耳
MD1,溼香菇
ME1,金絲菇
ME2,金絲菇盒
MF1,蠔菇
MI1,秀珍菇
MJ1,杏鮑菇
MK1,鴻禧菇
ML1,珊瑚菇
MN1,柳松菇
MX1,其他菇類
N2,李
O2,梨
O99,西洋梨
OA2,鹹菜
OB1,雪裡紅
OC1,其他蔬菜
OD1,蘿蔔乾
OE2,醃瓜
OG1,熟筍
OI4,筍茸
OL1,朴菜
P1,番石榴
Q1,蓮霧
R0,芒果
S1,葡萄
SA3,蘿蔔
SB1,胡蘿蔔
SC1,馬鈴薯
SD1,洋蔥
SE1,青蔥
SF1,韭菜
SG2,大蒜
SH1,竹筍
SJ2,芋
SK2,荸薺
SL1,豆薯
SM1,牛蒡
SN1,蓮藕
SO0,甘薯
SP1,薑
SQ1,茭白筍
SU2,薯蕷
SV1,蘆筍
SX1,芽菜類
SZ1,半天筍
T1,西瓜
V1,甜瓜
W1,洋香瓜
X69,蘋果
Y0,桃子
31,釋迦
459,草莓
61,甘蔗
C2,茂谷柑
FA0,其他花類
FP1,萊豆
G8,栗子
H49,葡萄柚
LV1,巴西利
LY1,西洋菜
LY2,黑甜仔菜
MC2,濕木耳盒
OH2,桶筍
SR3,菱角
SW1,球莖甘藍
SZ3,金針筍
SZ7,晚香玉筍
FP3,鵲豆
FX1,花豆
LL2,茼蒿
FX2,虎豆
MG2,巴西蘑菇
ST1,蕎頭
SZ6,半天花
Y19,水蜜桃
FA100,康乃馨
FA985,美女撫子
FB000,火鶴花
FC316,大菊
FC803,染大菊
FD001,小菊
FD802,染小菊
FE000,非洲菊
FG113,劍蘭
FH000,其它花卉
FH003,柔麗絲
FH004,八卦草黃河
FH006,黃梔花
FH007,松蟲草
FH050,水仙百合
FH101,天堂鳥
FH156,野薑花
FH158,紅薑花
FH185,嘉蘭火焰百合
FH231,夜來香
FH251,秀線
FH293,向日葵
FH310,大理花
FH320,薊花紅花
FH330,雞冠花
FH358,珊瑚鳳梨
FH381,麒麟草
FH460,繡球花
FH522,迥香
FH633,海芋
FH670,茉莉花
FH710,深山櫻
FH730,黑種草
FH750,百子蓮愛情花
FL129,百合
FO000,蘭花
FO007,千代蘭
FO008,嘉德麗蘭
FO009,萬代蘭
FO335,檸檬綠文心蘭
FO560,石斛蘭
FO600,蝴蝶蘭
FR000,玫瑰
FS012,香水百合
FS470,水晶香水
FS593,薇薇安娜
FS630,曼尼薩
FS822,姬百合
FT060,鐵砲百合
FU000,洋桔梗
FW141,星辰花
FW471,卡斯比亞
FW560,滿天星
FW640,水晶花
FY000,切葉類
FY001,尤加利葉
FY003,唐棉
FY004,黃椰心葉
FY009,電信蘭葉
FY010,七里香
FY013,星點木
FY015,葉蘭
FY017,八角金盤
FY018,蓮蓬
FY021,扁柏
FY027,虎斑木葉
FY030,新文竹
FY050,山蘇葉
FY057,百合竹
FY086,綠春蘭葉
FY093,水燭葉
FY993,白竹
IA000,進口康乃馨
IH000,進口其它花卉
IH260,進口丹頂蔥花
IH309,進口牡丹花
IO519,進口石斛蘭
IW560,進口滿天星
MM2,猴頭菇
MH1,松茸
MD0,濕香菇
