fruit_name,year,January,Febuary,March,April,May,June,July,August,September,October,November,December
蘿蔔,2020,8.34,8.4,7.11,6.77,7.55,7.92,3.53,3.53,-1.0,11.87,9.86,23.33,11.38
胡蘿蔔,2020,7.9,9.09,10.22,11.02,13.5,15.25,17.0,17.0,18.5,19.33,20.17,102.35,15.25
山藥,2020,30.0,29.2,29.83,29.4,32.53,-1.0,-1.0,-1.0,-1.0,61.67,49.33,3.09,54.33
牛蒡,2020,-1.0,-1.0,27.67,33.83,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.95,-1.0
生薑,2020,-1.0,-1.0,108.0,62.33,56.33,43.67,41.67,41.67,42.0,42.0,41.67,4.0,-1.0
生薑,2020,22.38,24.0,22.33,25.67,27.11,30.33,28.67,28.67,34.67,33.0,34.0,24.0,29.33
芋頭,2020,37.55,39.52,32.67,34.33,32.0,33.33,-1.0,-1.0,42.1,40.53,44.75,200.0,53.08
綠竹筍,2020,-1.0,-1.0,-1.0,132.88,125.02,101.37,82.19,82.19,59.82,63.58,89.33,52.78,-1.0
烏殼綠竹筍,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.0,-1.0
麻竹筍,2020,30.0,30.0,36.67,39.5,41.83,39.0,26.0,26.0,19.67,19.67,18.5,54.5,-1.0
桂竹筍,2020,-1.0,-1.0,-1.0,31.67,32.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
轎篙筍,2020,-1.0,-1.0,-1.0,-1.0,26.67,27.5,-1.0,-1.0,-1.0,-1.0,-1.0,54.5,-1.0
白蘆筍,2020,-1.0,-1.0,-1.0,-1.0,96.57,133.58,191.67,191.67,111.67,127.95,142.8,20.77,-1.0
綠蘆筍,2020,205.0,177.0,111.58,129.0,123.93,162.07,195.07,195.07,189.4,186.82,217.33,102.35,231.67
茭白筍,2020,-1.0,83.33,81.67,46.33,49.33,83.33,83.0,83.0,61.67,57.0,69.33,36.95,-1.0
大芥菜,2020,10.09,9.03,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
馬鈴薯,2020,22.03,21.83,22.92,22.92,26.0,23.83,23.5,23.5,25.0,25.83,26.0,54.5,30.33
加工麻竹筍,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.03,12.03,12.27,12.46,-1.0,-1.0,-1.0
青蔥,2020,43.44,36.86,30.79,25.66,23.02,37.41,74.52,74.52,104.39,69.43,39.58,52.25,31.57
蔥頭,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.5,-1.0
洋蔥,2020,11.5,10.5,10.76,12.48,15.3,17.9,18.73,18.73,20.4,-1.0,-1.0,24.0,10.0
青蒜,2020,63.42,55.3,45.22,54.83,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.5,-1.0
蒜頭,2020,-1.0,131.2,95.2,95.26,99.86,99.93,125.0,125.0,175.24,252.84,190.43,54.5,-1.0
荸薺,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.5,-1.0
韭菜,2020,28.7,30.06,22.11,20.18,17.08,31.82,27.87,27.87,31.01,41.47,43.7,52.25,40.21
韭黃,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.5,-1.0
蕹菜,2020,40.26,50.89,21.32,27.33,20.04,29.77,19.12,19.12,28.24,24.58,28.11,32.83,38.44
芹菜,2020,25.5,40.5,26.42,38.5,23.67,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.5,-1.0
甘藍,2020,8.76,13.33,7.32,8.69,12.32,21.19,21.39,21.39,28.14,28.3,28.39,57.5,17.19
甘藍芽,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.0,-1.0
小白菜,2020,15.75,12.08,12.27,20.83,14.73,32.05,13.67,13.67,37.81,23.68,20.58,-1.0,23.9
青江白菜,2020,26.5,14.83,9.33,17.33,10.0,28.33,11.0,11.0,32.67,17.33,15.0,54.5,17.42
結球白菜,2020,10.55,10.63,8.83,7.72,9.99,17.71,11.44,11.44,16.14,16.41,16.96,54.5,15.33
結球白菜,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.78,-1.0
菠菜,2020,27.16,20.07,12.21,33.61,-1.0,63.23,48.97,48.97,52.7,51.07,46.63,54.5,31.75
芥藍,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.5,-1.0
莧菜,2020,41.1,-1.0,19.95,27.05,20.01,30.03,19.13,19.13,26.71,20.98,26.89,20.77,39.02
本島萵苣,2020,18.0,30.67,13.67,19.5,17.17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.78,-1.0
萵苣,2020,-1.0,-1.0,7.5,9.11,10.73,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.5,-1.0
茼萵,2020,20.5,41.33,26.67,39.67,-1.0,-1.0,-1.0,-1.0,-1.0,22.0,84.0,54.5,38.67
花椰菜,2020,19.05,28.32,17.63,19.99,19.59,46.98,39.65,39.65,43.69,41.18,40.57,255.95,32.12
青花苔,2020,25.51,29.42,22.07,34.02,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.25,-1.0
金針菜,2020,641.5,641.5,641.5,641.5,638.67,633.0,626.33,626.33,-1.0,-1.0,-1.0,23.33,698.33
越瓜,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.5,-1.0
胡瓜,2020,23.01,29.69,18.04,10.68,11.38,19.24,15.42,15.42,18.94,21.74,19.93,54.5,26.33
胡瓜,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.5,-1.0
花胡瓜,2020,35.63,39.99,26.22,17.93,23.77,42.04,28.69,28.69,33.01,37.7,29.73,54.5,36.66
冬瓜,2020,-1.0,-1.0,15.13,10.53,8.15,6.2,7.9,7.9,8.1,11.65,11.05,-1.0,10.0
苦瓜,2020,37.77,51.09,49.07,29.69,22.13,33.52,21.94,21.94,42.26,52.78,45.01,20.77,37.58
絲瓜,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,102.35,-1.0
絲瓜,2020,29.55,35.37,24.29,16.45,15.9,25.52,14.83,14.83,19.79,16.02,20.55,-1.0,27.2
扁蒲,2020,17.49,15.33,11.18,8.74,7.89,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
茄子,2020,20.67,21.25,17.11,16.61,14.93,31.72,18.25,18.25,25.14,26.09,21.12,57.5,23.52
番茄,2020,18.34,22.91,20.42,20.25,19.67,33.33,44.67,44.67,25.0,42.5,40.67,-1.0,27.53
小蕃茄,2020,38.0,30.22,40.75,31.0,33.17,28.33,41.33,41.33,89.33,72.33,70.0,36.27,41.89
小番茄,2020,133.37,123.53,140.36,135.93,134.53,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.02,145.32
牛蕃茄,2020,14.21,23.18,18.39,18.14,6.87,27.68,38.05,38.05,41.82,47.08,53.11,54.5,32.29
甜椒,2020,20.88,25.48,21.2,13.37,15.67,42.38,23.04,23.04,26.18,38.8,50.1,36.27,31.63
西瓜,2020,-1.0,-1.0,9.0,10.72,10.79,16.12,21.93,21.93,20.67,-1.0,-1.0,54.5,-1.0
西瓜,2020,-1.0,-1.0,10.63,8.58,8.89,15.34,14.29,14.29,11.95,11.78,17.83,54.5,-1.0
西瓜,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.33,-1.0
洋香瓜,2020,35.25,31.2,27.73,32.97,24.06,33.57,24.18,24.18,26.38,49.78,39.22,13.02,-1.0
香瓜,2020,-1.0,-1.0,39.0,37.33,21.16,24.05,31.02,31.02,46.5,30.58,21.33,54.5,32.83
敏豆,2020,49.4,63.22,59.44,57.5,59.33,92.95,78.68,78.68,76.12,81.45,91.57,-1.0,-1.0
豇豆,2020,48.67,51.78,36.22,28.75,28.33,45.33,28.17,28.17,34.33,38.8,49.0,52.25,71.49
豌豆,2020,65.7,72.82,68.88,63.33,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.25,50.11
甜豌豆,2020,54.0,49.33,40.43,59.33,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.77,105.98
毛豆,2020,24.07,12.35,10.0,-1.0,11.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
菜豆,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.5,14.53
辣椒,2020,52.0,57.74,54.79,40.94,25.69,28.36,35.81,35.81,48.29,59.75,72.21,54.5,-1.0
玉米筍,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.5,75.23
甜玉米,2020,18.38,24.34,18.37,18.65,12.35,13.9,19.94,19.94,17.74,20.89,24.19,54.5,-1.0
蓮藕,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.33,38.33,46.5,120.0,19.36
草莓,2020,175.34,135.19,114.0,100.28,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.5,120.0
洋菇,2020,103.33,98.89,96.67,120.0,120.0,120.0,120.0,120.0,120.0,120.0,-1.0,74.67,153.0
香菇,2020,1453.75,1457.5,1510.0,1521.67,1505.0,1505.0,1492.5,1492.5,1496.67,1505.0,1513.33,54.5,102.5
香菇,2020,106.5,105.0,105.0,105.0,104.33,105.11,105.11,105.11,105.11,106.22,104.56,54.5,1498.33
木耳,2020,57.09,55.83,60.56,32.67,40.0,26.67,24.0,24.0,32.67,50.17,-1.0,50.0,101.78
鮑魚菇,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.5,57.0
杏鮑菇,2020,-1.0,-1.0,-1.0,-1.0,-1.0,55.55,55.0,55.0,61.78,73.33,76.33,-1.0,-1.0
葡萄柚,2020,18.5,25.67,26.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.0,-1.0,54.5,72.11
芒果,2020,-1.0,-1.0,-1.0,54.63,45.08,44.78,-1.0,-1.0,-1.0,-1.0,-1.0,54.5,16.0
芒果,2020,-1.0,-1.0,-1.0,-1.0,49.92,41.29,41.44,41.44,-1.0,-1.0,-1.0,54.5,-1.0
芒果,2020,-1.0,-1.0,-1.0,-1.0,-1.0,23.86,23.31,23.31,34.98,-1.0,-1.0,54.5,-1.0
番石榴,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.22,-1.0
番石榴,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.5,-1.0
番石榴,2020,34.3,27.79,20.2,17.13,21.53,14.42,13.92,13.92,24.15,27.86,-1.0,54.5,-1.0
