year,County,fruit_name,Production
2019,新北市,香蕉,1405.535
2019,台北市,香蕉,161.027
2019,桃園市,香蕉,828.226
2019,台中市,香蕉,8711.141
2019,台南市,香蕉,24008.13
2019,高雄市,香蕉,52382.173
2019,臺灣省,香蕉,NULL
2019,宜蘭縣,香蕉,3038.564
2019,新竹縣,香蕉,1887.223
2019,苗栗縣,香蕉,2887.199
2019,彰化縣,香蕉,3162.009
2019,南投縣,香蕉,59597.578
2019,雲林縣,香蕉,18222.2
2019,嘉義縣,香蕉,59785.017
2019,屏東縣,香蕉,86231.694
2019,台東縣,香蕉,11510.116
2019,花蓮縣,香蕉,7487.43
2019,澎湖縣,香蕉,42.346
2019,基隆市,香蕉,50.051
2019,新竹市,香蕉,91.065
2019,嘉義市,香蕉,1124.025
2019,福建省,香蕉,NULL
2019,金門縣,香蕉,15.834
2019,連江縣,香蕉,0.0
2019,新北市,鳳梨,44.335
2019,台北市,鳳梨,0.0
2019,桃園市,鳳梨,2.692
2019,台中市,鳳梨,6156.752
2019,台南市,鳳梨,69618.392
2019,高雄市,鳳梨,55338.643
2019,臺灣省,鳳梨,NULL
2019,宜蘭縣,鳳梨,908.693
2019,新竹縣,鳳梨,0.8
2019,苗栗縣,鳳梨,68.458
2019,彰化縣,鳳梨,8893.144
2019,南投縣,鳳梨,54101.381
2019,雲林縣,鳳梨,26126.253
2019,嘉義縣,鳳梨,58129.382
2019,屏東縣,鳳梨,128277.115
2019,台東縣,鳳梨,13345.642
2019,花蓮縣,鳳梨,7361.746
2019,澎湖縣,鳳梨,2.7
2019,基隆市,鳳梨,0.75
2019,新竹市,鳳梨,0.0
2019,嘉義市,鳳梨,2707.247
2019,福建省,鳳梨,NULL
2019,金門縣,鳳梨,0.0
2019,連江縣,鳳梨,0.0
2019,新北市,椪柑,8.022
2019,台北市,椪柑,46.943
2019,桃園市,椪柑,32.48
2019,台中市,椪柑,24292.1
2019,台南市,椪柑,27233.033
2019,高雄市,椪柑,10.671
2019,臺灣省,椪柑,NULL
2019,宜蘭縣,椪柑,100.784
2019,新竹縣,椪柑,3124.242
2019,苗栗縣,椪柑,11919.142
2019,彰化縣,椪柑,129.863
2019,南投縣,椪柑,582.829
2019,雲林縣,椪柑,12907.951
2019,嘉義縣,椪柑,40876.4
2019,屏東縣,椪柑,0.0
2019,台東縣,椪柑,280.608
2019,花蓮縣,椪柑,216.882
2019,澎湖縣,椪柑,0.0
2019,基隆市,椪柑,0.0
2019,新竹市,椪柑,0.0
2019,嘉義市,椪柑,15.3
2019,福建省,椪柑,NULL
2019,金門縣,椪柑,0.0
2019,連江縣,椪柑,0.0
2019,新北市,柳橙,53.029
2019,台北市,柳橙,26.72
2019,桃園市,柳橙,15.642
2019,台中市,柳橙,384.958
2019,台南市,柳橙,49038.563
2019,高雄市,柳橙,187.951
2019,臺灣省,柳橙,NULL
2019,宜蘭縣,柳橙,869.01
2019,新竹縣,柳橙,1555.876
2019,苗栗縣,柳橙,168.46
2019,彰化縣,柳橙,650.435
2019,南投縣,柳橙,12425.469
2019,雲林縣,柳橙,57954.621
2019,嘉義縣,柳橙,22844.262
2019,屏東縣,柳橙,61.352
2019,台東縣,柳橙,301.208
2019,花蓮縣,柳橙,364.01
2019,澎湖縣,柳橙,0.0
2019,基隆市,柳橙,0.0
2019,新竹市,柳橙,0.72
2019,嘉義市,柳橙,735.77
2019,福建省,柳橙,NULL
2019,金門縣,柳橙,0.364
2019,連江縣,柳橙,0.0
2019,新北市,桶柑,763.853
2019,台北市,桶柑,298.524
2019,桃園市,桶柑,836.52
2019,台中市,桶柑,8836.835
2019,台南市,桶柑,15.33
2019,高雄市,桶柑,3.7
2019,臺灣省,桶柑,NULL
2019,宜蘭縣,桶柑,2146.148
2019,新竹縣,桶柑,26138.907
2019,苗栗縣,桶柑,11996.669
2019,彰化縣,桶柑,5.59
2019,南投縣,桶柑,119.744
2019,雲林縣,桶柑,0.76
2019,嘉義縣,桶柑,159.588
2019,屏東縣,桶柑,0.0
2019,台東縣,桶柑,2529.609
2019,花蓮縣,桶柑,172.585
2019,澎湖縣,桶柑,0.0
2019,基隆市,桶柑,6.398
2019,新竹市,桶柑,38.576
2019,嘉義市,桶柑,0.0
2019,福建省,桶柑,NULL
2019,金門縣,桶柑,0.0
2019,連江縣,桶柑,0.0
2019,新北市,文旦柚,6982.336
2019,台北市,文旦柚,102.636
2019,桃園市,文旦柚,286.472
2019,台中市,文旦柚,1297.692
2019,台南市,文旦柚,24461.161
2019,高雄市,文旦柚,176.122
2019,臺灣省,文旦柚,NULL
2019,宜蘭縣,文旦柚,3634.978
2019,新竹縣,文旦柚,750.761
2019,苗栗縣,文旦柚,6671.647
2019,彰化縣,文旦柚,714.409
2019,南投縣,文旦柚,1652.961
2019,雲林縣,文旦柚,4856.902
2019,嘉義縣,文旦柚,2388.562
2019,屏東縣,文旦柚,28.09
2019,台東縣,文旦柚,1589.912
2019,花蓮縣,文旦柚,16083.218
2019,澎湖縣,文旦柚,0.0
2019,基隆市,文旦柚,141.804
2019,新竹市,文旦柚,104.714
2019,嘉義市,文旦柚,37.275
2019,福建省,文旦柚,NULL
2019,金門縣,文旦柚,0.803
2019,連江縣,文旦柚,0.0
2019,新北市,斗柚,21.9
2019,台北市,斗柚,24.04
2019,桃園市,斗柚,0.0
2019,台中市,斗柚,27.246
2019,台南市,斗柚,0.0
2019,高雄市,斗柚,0.0
2019,臺灣省,斗柚,NULL
2019,宜蘭縣,斗柚,46.003
2019,新竹縣,斗柚,48.3
2019,苗栗縣,斗柚,104.913
2019,彰化縣,斗柚,1.862
2019,南投縣,斗柚,4.356
2019,雲林縣,斗柚,0.0
2019,嘉義縣,斗柚,120.604
2019,屏東縣,斗柚,0.0
2019,台東縣,斗柚,126.852
2019,花蓮縣,斗柚,111.804
2019,澎湖縣,斗柚,0.0
2019,基隆市,斗柚,1.92
2019,新竹市,斗柚,8.854
2019,嘉義市,斗柚,0.0
2019,福建省,斗柚,NULL
2019,金門縣,斗柚,0.0
2019,連江縣,斗柚,0.0
2019,新北市,白柚,75.588
2019,台北市,白柚,47.569
2019,桃園市,白柚,12.0
2019,台中市,白柚,62.964
2019,台南市,白柚,5449.278
2019,高雄市,白柚,86.808
2019,臺灣省,白柚,NULL
2019,宜蘭縣,白柚,85.243
2019,新竹縣,白柚,8.25
2019,苗栗縣,白柚,722.102
2019,彰化縣,白柚,1083.677
2019,南投縣,白柚,410.02
2019,雲林縣,白柚,760.275
2019,嘉義縣,白柚,992.093
2019,屏東縣,白柚,38.032
2019,台東縣,白柚,879.787
2019,花蓮縣,白柚,234.669
2019,澎湖縣,白柚,0.0
2019,基隆市,白柚,0.0
2019,新竹市,白柚,15.157
2019,嘉義市,白柚,194.076
2019,福建省,白柚,NULL
2019,金門縣,白柚,0.384
2019,連江縣,白柚,0.0
2019,新北市,溫州蜜柑,0.0
2019,台北市,溫州蜜柑,0.0
2019,桃園市,溫州蜜柑,0.0
2019,台中市,溫州蜜柑,57.714
2019,台南市,溫州蜜柑,13.5
2019,高雄市,溫州蜜柑,0.0
2019,臺灣省,溫州蜜柑,NULL
2019,宜蘭縣,溫州蜜柑,17.478
2019,新竹縣,溫州蜜柑,0.0
2019,苗栗縣,溫州蜜柑,9.605
2019,彰化縣,溫州蜜柑,3.05
2019,南投縣,溫州蜜柑,0.0
2019,雲林縣,溫州蜜柑,0.0
2019,嘉義縣,溫州蜜柑,8.876
2019,屏東縣,溫州蜜柑,0.0
2019,台東縣,溫州蜜柑,32.015
2019,花蓮縣,溫州蜜柑,0.0
2019,澎湖縣,溫州蜜柑,0.0
